,NO_IES,SG_IES,NO_MANTENEDORA,TP_CAT_ADM_NAME,TP_ORG_ACAD_NAME,NU_ANO_CENSO,QT_CARGA_HORARIA_TOTAL,QT_VAGA_TOTAL,QT_INSCRITO_TOTAL,TOTAL_ALUNOS,ALUNOS_TRANSF,CO_LOCAL_OFERTA,UF,MUNICIPIO,IN_CAPITAL,NO_CURSO,IN_GRATUITO,DT_INICIO_FUNCIONAMENTO,DT_AUTORIZACAO_CURSO,IN_OFERECE_DISC_SEMI_PRES,NU_PERC_CARGA_SEMI_PRES,IN_INGRESSO_VESTIBULAR,IN_INGRESSO_ENEM,IN_INGRESSO_AVALIACAO_SERIADA,IN_INGRESSO_SELECAO_SIMPLIFICA,IN_INGRESSO_OUTRO_TIPO_SELECAO,IN_INGRESSO_VAGA_REMANESC,IN_INGRESSO_VAGA_PROG_ESPECIAL,IN_INGRESSO_TRANSF_EXOFFICIO,IN_INGRESSO_DECISAO_JUDICIAL,IN_INGRESSO_CONVENIO_PECG,IN_INGRESSO_EGRESSO,IN_INGRESSO_OUTRA_FORMA,IN_RESERVA_VAGAS,IN_RESERVA_ETNICO,IN_RESERVA_DEFICIENCIA,IN_RESERVA_ENSINO_PUBLICO,IN_RESERVA_RENDA_FAMILIAR,IN_RESERVA_OUTRA,IN_FINANCIAMENTO_ESTUDANTIL,IN_FIN_REEMB_FIES,IN_FIN_REEMB_ESTADUAL,IN_FIN_REEMB_MUNICIPAL,IN_FIN_REEMB_PROG_IES,IN_FIN_REEMB_ENT_EXTERNA,IN_FIN_REEMB_OUTRA,IN_FIN_NAOREEMB_PROUNI_INTEGR,IN_FIN_NAOREEMB_PROUNI_PARCIAL,IN_FIN_NAOREEMB_ESTADUAL,IN_FIN_NAOREEMB_MUNICIPAL,IN_FIN_NAOREEMB_PROG_IES,IN_FIN_NAOREEMB_ENT_EXTERNA,IN_FIN_NAOREEMB_OUTRA,IN_ATIVIDADE_EXTRACURRICULAR,IN_COMPLEMENTAR_ESTAGIO,IN_COMPLEMENTAR_EXTENSAO,IN_COMPLEMENTAR_MONITORIA,IN_COMPLEMENTAR_PESQUISA,IN_BOLSA_ESTAGIO,IN_BOLSA_EXTENSAO,IN_BOLSA_MONITORIA,IN_BOLSA_PESQUISA,IN_MOBILIDADE_ACADEMICA,IN_MATRICULA,IN_CONCLUINTE,IN_INGRESSO_TOTAL,QT_INSC_VAGA_NOVA_INTEGRAL,QT_INSC_VAGA_REMAN_INTEGRAL,QT_INSC_PROG_ESP_INTEGRAL,QT_VAGAS_NOVAS_INTEGRAL,QT_VAGAS_REMAN_INTEGRAL,QT_VAGAS_PROG_ESP_INTEGRAL,QT_INGRESSO_TOTAL,QT_INGRESSO_VAGA_NOVA,QT_MATRICULA_TOTAL,QT_CONCLUINTE_TOTAL,CO_MANTENEDORA,CO_IES,CO_CURSO,CO_UF,CO_MUNICIPIO
32,UNIVERSIDADE DE CAXIAS DO SUL,UCS,FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL,Privada sem fins lucrativos,Universidade,2018,8010,109,109,628,0,1003692.0,Rio Grande do Sul,Caxias do Sul,0.0,MEDICINA,0,01/03/1968,,0.0,,568,62,0,1,0.0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,285.0,168.0,0.0,0.0,0.0,63.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,181,0.0,21.0,153.0,16.0,0.0,0.0,25.0,9.0,22.0,628,80,103,109.0,0.0,0.0,109.0,0.0,0.0,108,108,628,80,13,13,1107,43.0,4305108.0
33,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,UNIVERSIDADE FEDERAL DE UBERLANDIA,Pública Federal,Universidade,2018,7776,123,15801,671,0,790.0,Minas Gerais,Uberlândia,0.0,MEDICINA,1,01/08/1968,,0.0,,342,249,50,3,0.0,14,0,0,13,0,0,0.0,261,154.0,9.0,261.0,134.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111,2.0,16.0,45.0,60.0,2.0,12.0,10.0,11.0,0.0,671,107,122,15458.0,343.0,0.0,120.0,3.0,0.0,125,117,671,107,9140,17,1439,31.0,3170206.0
34,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,SOCIEDADE PELOTENSE DE ASSISTENCIA E CULTURA(SPAC),Privada sem fins lucrativos,Universidade,2018,7914,185,1809,659,0,608.0,Rio Grande do Sul,Pelotas,0.0,MEDICINA,0,01/03/1963,,1.0,15.0,576,60,0,0,0.0,23,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,162.0,63.0,0.0,0.0,35.0,0.0,0.0,55.0,0.0,0.0,0.0,13.0,0.0,0.0,71,1.0,17.0,36.0,23.0,1.0,1.0,21.0,23.0,0.0,659,88,175,1804.0,5.0,0.0,180.0,5.0,0.0,175,170,659,88,18,18,1518,43.0,4314407.0
35,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,Pública Federal,Universidade,2018,7640,116,8129,665,0,1032259.0,Rio Grande do Sul,Pelotas,0.0,MEDICINA,1,29/11/1959,,0.0,,8,549,74,0,0.0,26,0,2,1,5,0,0.0,228,97.0,4.0,228.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,665,111,109,7791.0,338.0,0.0,106.0,10.0,0.0,117,105,665,111,410,634,14975,43.0,4314407.0
36,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO,Privada sem fins lucrativos,Universidade,2018,7735,150,4699,848,0,2560.0,São Paulo,Campinas,0.0,MEDICINA,0,01/03/1976,,0.0,,760,87,0,0,0.0,1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,505.0,123.0,0.0,0.0,0.0,141.0,0.0,86.0,0.0,0.0,0.0,221.0,0.0,0.0,88,0.0,2.0,64.0,26.0,0.0,2.0,64.0,26.0,2.0,848,133,146,4699.0,0.0,0.0,150.0,0.0,0.0,150,150,848,133,19,19,1629,35.0,3509502.0
37,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,Pública Estadual,Universidade,2018,8684,120,30677,736,2,685827.0,São Paulo,Campinas,0.0,MEDICINA,1,01/03/1963,,0.0,,683,0,0,51,0.0,0,0,2,0,0,0,0.0,339,132.0,1.0,311.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192,0.0,0.0,86.0,134.0,0.0,0.0,12.0,134.0,0.0,736,126,123,30677.0,0.0,0.0,120.0,0.0,0.0,123,121,736,126,12575,54,2695,35.0,3509502.0
38,FACULDADE SÃO LEOPOLDO MANDIC,,SOCIEDADE REGIONAL DE ENSINO E SAUDE S/S LTDA,Privada com fins lucrativos,Faculdade,2018,9015,227,1330,754,0,1006046.0,São Paulo,Campinas,0.0,MEDICINA,0,20/03/2013,,0.0,,648,0,0,0,0.0,106,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,75,1.0,64.0,26.0,50.0,1.0,1.0,0.0,11.0,7.0,754,87,187,1232.0,98.0,0.0,200.0,27.0,0.0,216,198,754,87,1547,2368,1184047,35.0,3509502.0
39,UNIVERSIDADE DE PASSO FUNDO,UPF,FUNDACAO UNIVERSIDADE DE PASSO FUNDO,Privada sem fins lucrativos,Universidade,2018,7620,108,5400,609,0,657682.0,Rio Grande do Sul,Passo Fundo,0.0,MEDICINA,0,19/03/1970,,1.0,0.76,508,66,0,0,0.0,35,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,390.0,177.0,0.0,0.0,148.0,0.0,0.0,56.0,0.0,0.0,0.0,21.0,0.0,0.0,257,0.0,225.0,101.0,16.0,0.0,20.0,0.0,3.0,1.0,609,90,104,5390.0,10.0,0.0,98.0,10.0,0.0,108,98,609,90,20,20,1725,43.0,4314100.0
40,FACULDADE MERIDIONAL,IMED,COMPLEXO DE ENSINO SUPERIOR MERIDIONAL S.A.,Privada com fins lucrativos,Faculdade,2018,7800,67,550,257,0,659120.0,Rio Grande do Sul,Passo Fundo,0.0,MEDICINA,0,10/11/2014,,0.0,,150,52,0,0,0.0,55,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,82.0,56.0,0.0,0.0,0.0,8.0,0.0,10.0,13.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257,0,68,500.0,50.0,0.0,42.0,25.0,0.0,70,45,257,0,1554,2383,1188127,43.0,4314100.0
41,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL - UFFS,Pública Federal,Universidade,2018,8715,63,5872,301,0,1084444.0,Rio Grande do Sul,Passo Fundo,0.0,MEDICINA,1,16/09/2013,,0.0,,0,272,0,0,0.0,27,0,0,2,0,0,0.0,256,58.0,12.0,243.0,126.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,0.0,34.0,21.0,38.0,0.0,3.0,4.0,1.0,0.0,301,0,60,5813.0,59.0,0.0,62.0,1.0,0.0,63,62,301,0,14750,15121,5001101,43.0,4314100.0
42,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA,Privada sem fins lucrativos,Universidade,2018,8370,110,3089,510,3,1006454.0,Rio Grande do Sul,Porto Alegre,1.0,MEDICINA,0,26/05/1970,,1.0,2.15,435,46,0,5,0.0,23,0,0,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,294.0,57.0,0.0,0.0,153.0,0.0,0.0,47.0,0.0,0.0,0.0,59.0,0.0,0.0,281,44.0,214.0,78.0,78.0,44.0,44.0,78.0,78.0,0.0,510,85,100,3082.0,7.0,0.0,102.0,8.0,0.0,104,98,510,85,21,21,1879,43.0,4314902.0
43,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,Pública Federal,Universidade,2018,10567,143,8250,954,0,33801.0,Rio Grande do Sul,Porto Alegre,1.0,MEDICINA,1,01/03/1898,,0.0,,773,142,0,8,0.0,7,0,5,11,8,0,0.0,300,142.0,5.0,299.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629,17.0,442.0,251.0,120.0,0.0,0.0,111.0,34.0,2.0,954,175,127,8248.0,2.0,0.0,141.0,2.0,0.0,142,125,954,175,13482,581,13723,43.0,4314902.0
44,FUNDAÇÃO UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,FUNDACAO UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE,Pública Federal,Universidade,2018,8491,100,3395,572,0,1002379.0,Rio Grande do Sul,Porto Alegre,1.0,MEDICINA,1,22/03/1961,,1.0,20.0,0,554,0,0,0.0,5,0,0,3,10,0,0.0,167,30.0,10.0,54.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197,0.0,192.0,0.0,16.0,0.0,0.0,0.0,16.0,1.0,572,88,101,3395.0,0.0,0.0,100.0,0.0,0.0,102,100,572,88,9051,717,16236,43.0,4314902.0
45,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,FUNDACAO DE ENSINO E TECNOLOGIA DE ALFENAS,Privada sem fins lucrativos,Universidade,2018,8570,192,3777,1082,0,657689.0,Minas Gerais,Alfenas,0.0,MEDICINA,0,01/02/1989,,0.0,,901,82,0,0,0.0,99,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,509.0,251.0,0.0,0.0,0.0,5.0,0.0,85.0,0.0,0.0,0.0,128.0,73.0,0.0,915,0.0,913.0,0.0,33.0,0.0,1.0,0.0,31.0,0.0,1082,161,188,3758.0,19.0,0.0,178.0,14.0,0.0,192,178,1082,161,30,30,2304,31.0,3101607.0
46,UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL-MG,UNIVERSIDADE FEDERAL DE ALFENAS - UNIFAL-MG,Pública Federal,Universidade,2018,7685,70,2904,265,0,1044232.0,Minas Gerais,Alfenas,0.0,MEDICINA,1,10/02/2014,,0.0,,0,229,0,0,0.0,35,0,0,1,0,0,0.0,116,67.0,0.0,116.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,4.0,142.0,120.0,26.0,4.0,6.0,18.0,6.0,0.0,265,0,56,2802.0,102.0,0.0,60.0,10.0,0.0,63,58,265,0,15031,595,1202573,31.0,3101607.0
47,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,FUNDACAO DE ENSINO E TECNOLOGIA DE ALFENAS,Privada sem fins lucrativos,Universidade,2018,10824,282,3440,1077,0,3705.0,Minas Gerais,Belo Horizonte,1.0,MEDICINA,0,10/03/2003,,0.0,,892,95,0,0,0.0,90,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,422.0,215.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,97.0,37.0,0.0,124,17.0,7.0,99.0,5.0,0.0,1.0,4.0,5.0,0.0,1077,127,276,3424.0,16.0,0.0,271.0,11.0,0.0,282,271,1077,127,30,30,64918,31.0,3106200.0
48,FACULDADE DE CIÊNCIAS MÉDICAS DE MINAS GERAIS,FCMMG,FUNDACAO EDUCACIONAL LUCAS MACHADO FELUMA,Privada sem fins lucrativos,Faculdade,2018,8820,345,5540,1014,0,657847.0,Minas Gerais,Belo Horizonte,1.0,MEDICINA,0,02/02/1951,,0.0,,817,107,0,0,0.0,87,0,1,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,211.0,104.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,430,127.0,325.0,166.0,53.0,127.0,7.0,35.0,29.0,0.0,1014,93,335,5470.0,70.0,0.0,336.0,9.0,0.0,345,336,1014,93,244,351,7676,31.0,3106200.0
49,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,Pública Federal,Universidade,2018,8085,320,16005,2089,0,34819.0,Minas Gerais,Belo Horizonte,1.0,MEDICINA,1,01/03/1912,,1.0,2.0,544,1509,0,1,0.0,11,1,5,7,11,0,0.0,727,399.0,31.0,716.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128,29.0,6.0,78.0,22.0,29.0,0.0,78.0,9.0,0.0,2089,297,308,16005.0,0.0,0.0,320.0,0.0,0.0,322,315,2089,297,15515,575,12970,31.0,3106200.0
50,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNI-BH,INSTITUTO MINEIRO DE EDUCACAO E CULTURA UNI-BH S/A,Privada com fins lucrativos,Centro Universitário,2018,9833,244,494,882,0,1000184.0,Minas Gerais,Belo Horizonte,1.0,MEDICINA,0,26/03/2007,,0.0,,654,514,0,0,0.0,152,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,373.0,297.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,409,120.0,116.0,350.0,22.0,15.0,9.0,18.0,7.0,0.0,882,70,194,452.0,42.0,0.0,221.0,23.0,0.0,244,221,882,70,14298,349,100688,31.0,3106200.0
51,FACULDADE DE MINAS BH,FAMINAS-BH,LAEL VARELLA EDUCACAO E CULTURA LTDA,Privada com fins lucrativos,Faculdade,2018,8900,348,2903,1020,0,659414.0,Minas Gerais,Belo Horizonte,1.0,MEDICINA,0,06/08/2012,,0.0,,891,9,0,0,0.0,125,0,0,4,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,457.0,362.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,31.0,0.0,807,7.0,806.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1020,143,226,2703.0,200.0,0.0,212.0,136.0,0.0,246,209,1020,143,2025,3194,1029204,31.0,3106200.0
52,UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,UNCISAL,UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS - UNCISAL,Pública Estadual,Universidade,2018,8896,50,5402,290,0,657691.0,Alagoas,Maceió,1.0,MEDICINA,1,16/03/1970,,0.0,,283,0,0,0,0.0,0,0,0,7,0,0,0.0,96,0.0,0.0,95.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,39.0,121.0,72.0,65.0,23.0,1.0,0.0,46.0,0.0,290,50,45,5402.0,0.0,0.0,50.0,0.0,0.0,49,49,290,50,32,32,2348,27.0,2704302.0
53,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,Pública Federal,Universidade,2018,8251,105,4854,606,2,1036246.0,Alagoas,Maceió,1.0,MEDICINA,1,10/03/1951,,0.0,,2,531,8,0,0.0,55,0,2,0,8,0,0.0,147,14.0,2.0,85.0,34.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322,211.0,42.0,86.0,4.0,0.0,40.0,15.0,4.0,0.0,606,84,103,4794.0,60.0,0.0,100.0,5.0,0.0,105,103,606,84,15601,577,13200,27.0,2704302.0
54,CENTRO UNIVERSITÁRIO CESMAC,CESMAC,FUNDACAO EDUCACIONAL JAYME DE ALTAVILA-FEJAL,Privada sem fins lucrativos,Centro Universitário,2018,7400,187,1450,653,0,657989.0,Alagoas,Maceió,1.0,MEDICINA,0,13/03/2014,,0.0,,474,64,0,0,0.0,98,0,0,17,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,285.0,217.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,653,0,189,1408.0,42.0,0.0,145.0,42.0,0.0,193,145,653,0,404,621,1184325,27.0,2704302.0
55,CENTRO UNIVERSITÁRIO TIRADENTES,FITS,SOCIEDADE DE EDUCACAO TIRADENTES S/S LTDA,Privada com fins lucrativos,Centro Universitário,2018,5983,184,554,641,0,659862.0,Alagoas,Maceió,1.0,MEDICINA,0,18/08/2014,,0.0,,533,27,0,0,0.0,108,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,220.0,175.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,133,11.0,0.0,110.0,36.0,11.0,0.0,13.0,12.0,0.0,641,0,155,537.0,17.0,0.0,168.0,16.0,0.0,193,178,641,0,274,4530,1200578,27.0,2704302.0
56,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,UNIVERSIDADE DO ESTADO DO PARA UEP,Pública Estadual,Universidade,2018,8060,113,6091,613,0,1749.0,Pará,Belém,1.0,MEDICINA,1,10/04/1970,,0.0,,602,0,0,7,0.0,3,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353,161.0,141.0,117.0,234.0,6.0,5.0,34.0,65.0,0.0,613,104,99,6091.0,0.0,0.0,113.0,0.0,0.0,113,113,613,104,34,38,2392,15.0,1501402.0
57,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,UNIVERSIDADE FEDERAL DO PARA,Pública Federal,Universidade,2018,9096,166,9288,1041,0,1048702.0,Pará,Belém,1.0,MEDICINA,1,01/05/1919,,0.0,,304,653,0,20,0.0,48,0,0,6,10,0,0.0,300,84.0,3.0,222.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,5.0,10.0,13.0,57.0,5.0,10.0,13.0,42.0,0.0,1041,177,165,8996.0,292.0,0.0,154.0,12.0,0.0,165,151,1041,177,15509,569,12015,15.0,1501402.0
58,CENTRO UNIVERSITÁRIO DO ESTADO DO PARÁ,CESUPA,ASSOCIACAO CULTURAL E EDUCACIONAL DO PARA,Privada sem fins lucrativos,Centro Universitário,2018,7490,170,2451,812,0,7634.0,Pará,Belém,1.0,MEDICINA,0,05/02/2007,,0.0,,740,24,0,0,0.0,48,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,233.0,164.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,50.0,0.0,0.0,154,1.0,118.0,14.0,38.0,1.0,0.0,0.0,11.0,1.0,812,95,151,2391.0,60.0,0.0,160.0,10.0,0.0,160,160,812,95,544,792,98506,15.0,1501402.0
59,FACULDADE METROPOLITANA DA AMAZÔNIA,FAMAZ,INSTITUTO EURO AMERICANO DE EDUCACAO CIENCIA TECNOLOGIA,Privada sem fins lucrativos,Faculdade,2018,7464,184,1018,570,0,1041237.0,Pará,Belém,1.0,MEDICINA,0,27/10/2014,,0.0,,441,62,0,0,0.0,61,0,0,6,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,214.0,156.0,0.0,0.0,0.0,0.0,0.0,17.0,52.0,0.0,0.0,0.0,0.0,0.0,570,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570,0,171,987.0,31.0,0.0,154.0,30.0,0.0,184,154,570,0,770,4450,1171609,15.0,1501402.0
60,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,UNIVERSIDADE DO ESTADO DO PARA UEP,Pública Estadual,Universidade,2018,8400,51,2093,266,3,1760.0,Pará,Santarém,0.0,MEDICINA,1,15/02/2006,,0.0,,248,0,0,8,0.0,8,0,2,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143,84.0,75.0,31.0,90.0,1.0,13.0,5.0,15.0,0.0,266,41,45,2090.0,3.0,0.0,48.0,3.0,0.0,52,48,266,41,34,38,101228,15.0,1506807.0
61,UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,UNIVERSIDADE DO ESTADO DO PARA UEP,Pública Estadual,Universidade,2018,8060,27,1842,112,0,1755.0,Pará,Marabá,0.0,MEDICINA,1,,,0.0,,110,0,0,1,0.0,0,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,15.0,15.0,3.0,17.0,0.0,1.0,2.0,3.0,0.0,112,0,19,1842.0,0.0,0.0,27.0,0.0,0.0,27,27,112,0,34,38,1272168,15.0,1504208.0
62,UNIVERSIDADE DE SÃO PAULO,USP,UNIVERSIDADE DE SAO PAULO,Pública Estadual,Universidade,2018,11130,177,17029,1067,9,1075921.0,São Paulo,São Paulo,1.0,MEDICINA,1,01/04/1913,,0.0,,1053,0,0,0,0.0,12,0,0,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165,1.0,162.0,0.0,3.0,0.0,1.0,0.0,3.0,14.0,1067,176,170,17027.0,2.0,0.0,175.0,2.0,0.0,171,171,1067,176,15715,55,2918,35.0,3550308.0
63,FACULDADE DE CIÊNCIAS MÉDICAS DA SANTA CASA SÃO PAULO,FCMSCSP,FUNDACAO ARNALDO VIEIRA DE CARVALHO,Privada sem fins lucrativos,Faculdade,2018,9580,126,6791,712,0,686839.0,São Paulo,São Paulo,1.0,MEDICINA,0,20/05/1963,,0.0,,666,14,0,0,0.0,31,0,1,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,143.0,70.0,0.0,0.0,22.0,0.0,0.0,14.0,0.0,0.0,0.0,47.0,21.0,0.0,321,4.0,197.0,133.0,70.0,0.0,1.0,9.0,32.0,15.0,712,95,124,6683.0,108.0,0.0,120.0,6.0,0.0,126,120,712,95,288,415,8554,35.0,3550308.0
64,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,UNIVERSIDADE FEDERAL DE SAO PAULO,Pública Federal,Universidade,2018,10145,121,17630,743,0,141314.0,São Paulo,São Paulo,1.0,MEDICINA,1,01/06/1933,,0.0,,727,1,0,0,0.0,0,0,4,3,9,0,0.0,275,106.0,10.0,275.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,8.0,17.0,44.0,115.0,8.0,10.0,10.0,19.0,0.0,743,130,118,17630.0,0.0,0.0,121.0,0.0,0.0,121,121,743,130,9144,591,14563,35.0,3550308.0
65,UNIVERSIDADE CIDADE DE SÃO PAULO,UNICID,SECID - SOCIEDADE EDUCACIONAL CIDADE DE SAO PAULO LTDA,Privada com fins lucrativos,Universidade,2018,7747,225,1597,973,0,1002328.0,São Paulo,São Paulo,1.0,MEDICINA,0,16/02/2004,,0.0,,922,0,0,0,0.0,49,0,0,2,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,394.0,309.0,0.0,0.0,0.0,0.0,0.0,40.0,61.0,0.0,0.0,31.0,0.0,0.0,907,0.0,905.0,11.0,12.0,0.0,0.0,11.0,12.0,0.0,973,101,216,1564.0,33.0,0.0,192.0,33.0,0.0,225,192,973,101,290,417,57402,35.0,3550308.0
66,UNIVERSIDADE SANTO AMARO,UNISA,OBRAS SOCIAIS E EDUCACIONAIS DE LUZ,Privada sem fins lucrativos,Universidade,2018,9370,339,2462,828,0,657864.0,São Paulo,São Paulo,1.0,MEDICINA,0,01/02/2005,,0.0,,755,49,0,0,0.0,24,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,152.0,79.0,0.0,0.0,0.0,3.0,0.0,49.0,0.0,0.0,0.0,22.0,0.0,0.0,765,0.0,765.0,0.0,63.0,0.0,0.0,0.0,6.0,8.0,828,58,313,2437.0,25.0,0.0,314.0,25.0,0.0,316,304,828,58,488,375,74655,35.0,3550308.0
67,UNIVERSIDADE NOVE DE JULHO,UNINOVE,ASSOCIACAO EDUCACIONAL NOVE DE JULHO,Privada sem fins lucrativos,Universidade,2018,8422,607,1598,1125,9,706703.0,São Paulo,São Paulo,1.0,MEDICINA,0,25/08/2003,,0.0,,752,58,0,0,0.0,315,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,582.0,528.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0,0.0,2.0,14.0,1.0,0.0,1024,1.0,683.0,60.0,408.0,1.0,683.0,0.0,227.0,0.0,1125,94,379,798.0,800.0,0.0,380.0,227.0,0.0,389,339,1125,94,222,316,82224,35.0,3550308.0
